scene,talk_id,talk_person,dialogue
0,0,Narrator,You’re not sure what to call yourself honestly.
0,1,Narrator,"A time traveler, an immortal being, a soul stuck in the cycle of Samsara that remembers every single lifetime–you’ve stopped trying to classify yourself after a while. "
0,2,Narrator,"But what you do know is Moira, the woman you fell in love with all those lifetimes ago."
0,3,Narrator,"Her beautiful smile and the bell chime tone of her voice. In a way she’s like you, timeless and transient except…"
0,4,Narrator,She doesn’t remember you. 
0,5,Narrator,"It’s not every lifetime Moira appears, and the lives she doesn’t blur together into a jumbled mess until you hit a pocket of striking clarity."
0,6,Narrator,"You find her in the luncheons and garden parties of the countryside gentry, mingling with the regency elite."
0,7,Narrator,"She catches your gaze, but like water in your hands she looks away as if you were invisible and you know exactly why."
0,8,Narrator,"Because you are, at least not literally. "
0,9,Narrator,"Working as a commoner means being relegated to the background of the lives of the wealthy, socially you have no chance with her. "
0,10,Narrator,"Of course you don’t care too much about the fuss and constraints of Regency society, not when it comes to being with her. "
0,11,Narrator,"So when Moira excuses herself to wander the rose garden you follow, determined to introduce yourself (again, like you’ve done countless times before). "
0,12,You,“Pardon me ma’am.”
0,13,Moira,“Hm? Can I help you?” 
0,14,Narrator,Now’s your chance. 
1,0,Narrator,"You managed to strike up a good conversation with Moira, even managing to win one of her dazzling smiles in the process. "
1,1,Narrator,"Despite your differences in status she seems interested in you, though that spark of recognition you always hope she’ll one day have is not present. "
1,2,Narrator,"But that’s okay, you can take solace in knowing that at least in this brief lifetime you’re together. "
1,3,Narrator,"Or at least you think so, living all these lifetimes has taught you many things; the biggest lesson of all being that time is fleeting."
1,4,Narrator,All that you hold dear can be gone within a blink of an eye as time warps and stretches on in an endless march you’re forced to participate in. 
1,5,Narrator,You can’t even remember what happened after your chat in the garden as the world goes dark. 
2,0,Narrator,"You reach a hand up to shield your nose from the smog of the city, the moon full yet outshone by the myriad blinking lights advertising each storefront."
2,1,Narrator,People pass by you in the street adorned in pinstripe suits and feathered boas as nightlife goes into full swing.
2,2,Narrator,"It’s the roaring 20s they say, and life has never been more exciting as the world dances on the cusp of modernity. "
2,3,Narrator,Of course you’re not focused on things like the economy or what jazz singer was playing at what club as you duck into an unassuming doorway and emerge into a lavish speakeasy. 
2,4,Narrator,"You’re focused on the woman sitting alone at the bar, tapping her feet to the music as she notices your gaze and smiles. "
2,5,Narrator,"Moira eagerly ushers you closer, and you mirror her own excitement as you sit at a stool, ready for your second date. You may have won her over on the first, but you can’t rest on your laurels just yet. "
2,6,Narrator,It’s your time to shine.
3,0,Narrator,"You spend the night chattering away and sipping on giggle water, warmth blooming in your heart partly from the alcohol and mostly from the way her eyes light up at the sound of the band on stage playing her favorite song. "
3,1,Moira, “Come on! We’ve been sitting for too long anyways!”
3,2,Narrator,"Her hand is soft in yours as she pulls you into the undulating crowd of flappers and swingers, the sequins on her dress blinding as the spotlight above shines down on her. "
3,3,Narrator,"The trumpets cry and the drums beat in tune with your heart as Moira begins to dance, and soon enough you join her despite your footsteps not being as graceful as hers. "
3,4,Narrator,"You don’t want this night to end, but it does as you choose to spin, expecting to see her still dancing alongside you only to find the crowd surging in. "
3,5,Narrator,"The colors and movement are disorienting as you desperately search for her, but she’s gone, swallowed by the crowd."
3,6,Narrator,"And so are you as everything blurs into one unending dance, the music screaming a final goodbye as the world goes dark. "
4,0,Narrator,"Your back aches as you trudge up the stairway and reach a landing, the fluorescent light droning as you walk past identical rows of doors with chipped paint and the occasional unwelcoming welcome mat sitting in front of them. "
4,1,Narrator,"The keys jingle in your hand as you slot one into the doorknob and twist, revealing the small apartment you live in. Overpriced and just shy of being dingy, but it’s home for this lifetime. "
4,2,Narrator,"It wouldn’t be home if it weren’t for the woman hunched over her desk, an expression on the cusp of exasperated as she types out a line of code. "
4,3,Narrator,"Moira’s a programmer this life, which means days filled with computer screens and bug fixing and takeout boxes left out on the counter. "
4,4,Narrator,"Despite it being the longest you and her have been together since the very first time you met, it feels like the least amount of time you have spent with her as both your schedules turn you into ships in the night. "
4,5,Narrator,"But you make it work, cherishing every moment you have with her (and wishing Moira remembered them all too). "
4,6,Narrator,"At the frustrated noise she makes at her computer you set your stuff down, a sympathetic smile on your face as you reach her desk. "
4,7,You,“Wanna talk about it?”
5,0,Narrator,With you acting as her rubber duck Moira manages to untangle the lines of code and isolate the issue with a triumphant smile just as you finish ordering a celebratory dinner on your phone. 
5,1,Narrator,"This was the last part of her big project done, you figure it deserves some fanfare in the form of her favorite meal. "
5,2,Moira,"“Whew. I’m beat, what do you think of watching a movie marathon tonight?”"
5,3,Narrator,"You give her a grin and a nod of affirmation, moving towards your usual spot on the couch while she takes up hers by your side. Moira clicks through the channels until she settles on one and gets comfortable."
5,4,Narrator,"You get comfortable too, and despite this movie not being one of your favorites you’re content to zone out to the sounds and colors on the screen. "
5,5,Narrator,"This is the closest you’ve gotten to feeling truly at peace you think, and the soft ache in your chest that’s constantly there is almost unnoticeable. "
5,6,Narrator,"Almost, as you still lament the fact that this was the first lifetime you’ve admitted to her what’s been going on and she didn’t believe you, laughing it off as some “crazy lucid dream”. "
5,7,Narrator,"Sometimes you wish it was just a dream, but the weight of centuries still hangs heavy on your shoulders, the memories of Moira throughout the years still as clear as the day you experienced them. "
5,8,Narrator,"You wonder if this ever has an end as your vision begins to blur, the shapes of your apartment blending into one amorphous mass as the world goes dark. "
6,0,Moira,"“ –hey, Hey!” "
